#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-08T09:52:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-08T09:52:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/682/A145/catalog&-order=I&-out=HIP&-out=HD&-out=Name&-out=GaiaDR3&-out=RA_ICRS&-out=DE_ICRS&-out=ThetaLD&-out=Indirect&-out=GBSV1&-out=GBSV2&-out=Plx&-out=o_Plx&-out=Av&-out=FbolAv0&-out=Fbol&-out=Teff&-out=Lum&-out=Rad&-out=MassB&-out=MassS&-out=logg&-out=[Fe/H]&-out=Dnu&-out=numax&-out=loggSeis&-out=RadSeis&-out=MassSeis&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36820145
#Name: J/A+A/682/A145
#Title: Gaia FGK benchmark stars v3 (Soubiran+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/682/a145	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2024A&A...682A.145S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/682/A145	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36820145	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-01-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_A_A_682_A145_catalog:
#Name: J/A+A/682/A145/catalog
#Title: Parameters of the stars (corrected version, 04/12/2024, from erratum, 2025A&A...693C...3S)
#Column	HIP	(A9)	HIP name (HIPNNNNNN)	[ucd=meta.id;meta.main]
#Column	HD	(A8)	HD name (HDNNNNNN)	[ucd=meta.id]
#Column	Name	(a13)	Other name	[ucd=meta.id]
#Column	GaiaDR3	(I19)	? Gaia DR3 Source identifier	[ucd=meta.id]
#Column	RA_ICRS	(F8.4)	Right Ascension (ICRS) at Ep=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F8.4)	Declination (ICRS) at Ep=J2000	[ucd=pos.eq.dec;meta.main]
#Column	ThetaLD	(F6.3)	Limb darkened angular diameter	[ucd=phys.angSize]
#Column	Indirect	(I1)	[1]? 1 = indirect measurement of ThetaLD	[ucd=meta.code]
#Column	GBSV1	(I1)	[1]? 1 = GBS present in V1, Heiter et al., 2015A&A...582A..49H	[ucd=meta.code]
#Column	GBSV2	(I1)	[1]? 1 = GBS present in V2, Jofre et al., 2018RNAAS...2..152J, Cat. III/281	[ucd=meta.code]
#Column	Plx	(F6.2)	Parallax	[ucd=pos.parallax]
#Column	o_Plx	(A1)	[GHA] Origin for the parallax (1)	[ucd=meta.number]
#Column	Av	(F6.3)	Extinction in V band	[ucd=phys.absorption]
#Column	FbolAv0	(F8.3)	? Bolometric flux 0 extinction	[ucd=phot.flux.bol]
#Column	Fbol	(F8.3)	Bolometric flux	[ucd=phot.flux.bol]
#Column	Teff	(I4)	Fundamental effective temperature	[ucd=phys.temperature.effective]
#Column	Lum	(F8.3)	Luminosity	[ucd=phys.luminosity]
#Column	Rad	(F7.3)	Linear radius	[ucd=phys.size.radius]
#Column	MassB	(F6.3)	Mass from BaSTI	[ucd=phys.mass]
#Column	MassS	(F6.3)	Mass from STAREVOL	[ucd=phys.mass]
#Column	logg	(F5.2)	Logarithm of surface gravity Newton law	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Metallicity from literature	[ucd=phys.abund.Z]
#Column	Dnu	(F6.2)	? Large frequency separation	[ucd=em.freq;src.var]
#Column	numax	(F6.1)	? Frequency of maximum oscillation power	[ucd=em.freq;stat.max]
#Column	loggSeis	(F5.2)	? Seismic logg	[ucd=phys.gravity]
#Column	RadSeis	(F6.3)	? Seismic radius	[ucd=phys.size.radius]
#Column	MassSeis	(F6.3)	? Seismic mass	[ucd=phys.mass]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
HIP	HD	Name	GaiaDR3	RA_ICRS	DE_ICRS	ThetaLD	Indirect	GBSV1	GBSV2	Plx	o_Plx	Av	FbolAv0	Fbol	Teff	Lum	Rad	MassB	MassS	logg	[Fe/H]	Dnu	numax	loggSeis	RadSeis	MassSeis	Simbad
HIP36444 	HD60060 	             	5492531416535100672	112.4988	-52.6512	 0.948	 	 	 	  9.24	G	 0.044	  15.944	  16.068	4814	  58.824	 11.031	 1.355	 2.202	 2.59	-0.08	      	      	     	      	      	Simbad
HIP36732 	HD60341 	             	5716535848180090624	113.3315	-19.4125	 1.190	 	 	 	 10.98	G	 0.022	  20.381	  20.434	4563	  52.978	 11.652	 1.287	 1.214	 2.40	 0.01	      	      	     	      	      	Simbad
HIP37279 	HD61421 	Procyon      	                   	114.8255	+05.2250	 5.406	 	1	1	284.56	H	 0.000	1844.000	1826.030	6582	   7.049	  2.043	 1.491	 1.439	 3.98	-0.02	 55.20	1000.0	 3.97	 2.028	 1.423	Simbad
HIP3765  	HD4628  	             	2552925644460225152	012.0957	+05.2806	 0.868	 	 	 	134.49	G	 0.000	  16.981	  16.880	5093	   0.292	  0.694	 0.762	 0.778	 4.64	-0.26	      	      	     	      	      	Simbad
HIP37664 	HD62713 	* W Pup      	5536661140353547008	115.9247	-40.9337	 1.446	 	 	 	 14.78	G	 0.022	  32.733	  32.854	4661	  47.008	 10.519	 0.883	 0.713	 2.29	 0.02	      	      	     	      	      	Simbad
HIP37826 	HD62509 	Pollux       	                   	116.3290	+28.0262	 8.018	 	1	1	 96.54	H	 0.000	1152.450	1145.920	4810	  38.431	  8.930	 1.696	 0.632	 2.55	 0.02	  7.14	  84.5	 2.83	 8.757	 1.989	Simbad
HIP3850  	HD4747  	             	2348830516542653824	012.3615	-23.2125	 0.390	 	 	 	 53.08	G	 0.008	   4.130	   4.152	5351	   0.461	  0.790	 0.797	 0.816	 4.55	-0.23	      	      	     	      	      	Simbad
HIP40526 	HD69267 	* bet Cnc    	3098404220680931968	124.1288	+09.1855	 5.030	 	 	 	 10.10	G	 0.019	 234.200	 233.469	4080	 715.361	 53.545	 1.734	 2.295	 1.28	-0.20	      	      	     	      	      	Simbad
HIP40693 	HD69830 	             	5726982995343100928	124.5998	-12.6322	 0.674	 	 	 	 79.50	G	 0.000	  12.179	  12.085	5317	   0.598	  0.912	 0.843	 0.856	 4.45	-0.03	      	      	     	      	      	Simbad
HIP40843 	HD69897 	* chi Cnc    	 683184784030475520	125.0161	+27.2177	 0.706	 	 	 	 54.87	G	 0.009	  24.638	  24.570	6203	   2.551	  1.383	 1.033	 1.032	 4.17	-0.28	      	      	     	      	      	Simbad
HIP4151  	HD5015  	             	 427322415301550208	013.2675	+61.1240	 0.865	 	 	 	 52.90	G	 0.014	  32.961	  32.994	6033	   3.685	  1.758	 1.210	 1.214	 4.03	 0.05	      	      	     	      	      	Simbad
HIP4257  	HD5268  	*  21 Cet    	2474456351444863744	013.5733	-08.7407	 0.767	 	 	 	  7.92	G	 0.031	  11.666	  11.699	4944	  58.298	 10.412	 0.879	 0.939	 2.36	-0.35	      	      	     	      	      	Simbad
HIP43587 	HD75732 	* rho01 Cnc  	 704967037090946688	133.1492	+28.3308	 0.724	 	 	 	 79.45	G	 0.000	  12.539	  12.456	5169	   0.617	  0.980	 0.891	 0.917	 4.41	 0.32	      	      	     	      	      	Simbad
HIP43813 	HD76294 	* zet Hya    	 583588100209595776	133.8484	+05.9456	 3.196	 	 	 	 21.31	G	 0.015	 186.482	 186.059	4836	 128.063	 16.125	 2.732	 3.140	 2.49	-0.05	      	      	     	      	      	Simbad
HIP45343 	HD79210 	             	1022456139210632064	138.5949	+52.6866	 0.871	 	 	 	157.92	G	 0.000	   6.484	   6.448	3997	   0.081	  0.593	 0.619	 0.629	 4.69	 0.17	      	      	     	      	      	Simbad
HIP45860 	HD80493 	* alf Lyn    	 702343774145932544	140.2638	+34.3926	 7.538	 	 	 	 14.70	G	 0.017	 430.209	 429.401	3881	 621.108	 55.133	 1.062	 1.520	 1.06	-0.26	      	      	     	      	      	Simbad
HIP4587  	HD5722  	* phi04 Cet  	2472524234636869248	014.6828	-11.3800	 0.995	 	 	 	  9.75	G	 0.023	  19.163	  19.214	4914	  63.176	 10.972	 1.405	 2.296	 2.61	-0.23	      	      	     	      	      	Simbad
HIP46853 	HD82328 	* tet UMa    	1018776176872261248	143.2143	+51.6773	 1.632	 	 	 	 73.83	G	 0.000	 134.230	 132.466	6217	   7.596	  2.377	 1.340	 1.436	 3.83	-0.17	      	      	     	      	      	Simbad
HIP47080 	HD82885 	*  11 LMi    	 798068905726303232	143.9146	+35.8101	 0.821	 	 	 	 89.01	G	 0.000	  19.933	  19.835	5452	   0.783	  0.992	 0.936	 1.043	 4.44	 0.34	      	      	     	      	      	Simbad
HIP47431 	HD83618 	* iot Hya    	3827873938815011200	144.9640	-01.1428	 3.462	 	 	 	 12.91	G	 0.020	 128.929	 128.741	4238	 241.437	 28.832	 1.557	 2.188	 1.78	-0.06	      	      	     	      	      	Simbad
HIP47908 	HD84441 	* eps Leo    	 641662895638787584	146.4628	+23.7743	 2.643	 	 	 	 14.34	G	 0.018	 185.678	 185.474	5314	 281.919	 19.816	 3.144	 3.470	 2.36	-0.03	      	      	     	      	      	Simbad
HIP48152 	HD84937 	             	 615943806835727872	147.2337	+13.7443	 0.153	1	1	1	 13.53	G	 0.019	   1.381	   1.378	6484	   2.352	  1.216	 0.763	 0.793	 4.16	-2.12	      	      	     	      	      	Simbad
HIP48455 	HD85503 	* mu. Leo    	 643819484617141504	148.1909	+26.0070	 2.887	 	1	1	 26.10	G	 0.013	 115.913	 115.698	4519	  53.086	 11.893	 0.953	 1.994	 2.43	 0.27	      	      	     	      	      	Simbad
HIP49081 	HD86728 	*  20 LMi    	 746545172372256384	150.2527	+31.9237	 0.771	 	 	 	 67.00	G	 0.008	  19.659	  19.600	5610	   1.365	  1.237	 0.967	 1.009	 4.25	 0.20	      	      	     	      	      	Simbad
HIP49637 	HD87837 	*  31 Leo    	3879879704937353984	151.9761	+09.9975	 3.330	 	 	 	 11.02	G	 0.023	 104.885	 104.963	4106	 270.154	 32.489	 1.249	 1.818	 1.59	-0.02	      	      	     	      	      	Simbad
HIP49908 	HD88230 	             	 823773494718931968	152.8423	+49.4542	 1.268	 	 	 	205.31	G	 0.000	  15.748	  15.605	4132	   0.116	  0.664	 0.678	 0.685	 4.63	 0.21	      	      	     	      	      	Simbad
HIP50382 	HD298986	             	5358179685572496384	154.3120	-52.4885	 0.073	1	 	1	  7.50	G	 0.052	   0.288	   0.287	6344	   1.597	  1.046	 0.767	 0.803	 4.29	-1.33	      	      	     	      	      	Simbad
HIP50564 	HD89449 	*  40 Leo    	 624684408880100992	154.9340	+19.4709	 0.731	 	 	 	 47.13	G	 0.009	  29.766	  29.578	6385	   4.162	  1.668	 1.360	 1.341	 4.12	 0.10	      	      	     	      	      	Simbad
HIP50887 	HD90043 	*  24 Sex    	3830897080395058048	155.8682	-00.9022	 0.659	 	 	 	 13.67	G	 0.020	   7.682	   7.681	4801	  12.847	  5.183	 1.098	 1.468	 3.11	-0.03	 14.15	 203.0	 3.21	 5.351	 1.527	Simbad
HIP51459 	HD90839 	*  36 UMa    	 853819947756949120	157.6566	+55.9805	 0.794	 	 	 	 77.25	G	 0.007	  32.363	  32.212	6259	   1.687	  1.105	 1.113	 1.130	 4.40	-0.12	      	      	     	      	      	Simbad
HIP5336  	HD6582  	* mu. Cas    	 411413822074322432	017.0683	+54.9203	 0.973	 	1	1	130.29	G	 0.000	  26.165	  25.975	5358	   0.478	  0.803	 0.714	 0.734	 4.49	-0.83	      	      	     	      	      	Simbad
HIP544   	HD166   	             	2860924621205256704	001.6533	+29.0215	 0.624	 	 	 	 72.64	G	 0.008	  10.880	  10.848	5378	   0.643	  0.924	 0.875	 0.924	 4.46	 0.11	      	      	     	      	      	Simbad
HIP5445  	HD6755  	             	 522534933950730240	017.4294	+61.5473	 0.369	 	 	 	  6.40	G	 0.072	   2.755	   2.781	4977	  21.222	  6.199	 0.800	 0.841	 2.77	-1.43	      	      	     	      	      	Simbad
HIP54539 	HD96833 	* psi UMa    	 779106556394253824	167.4159	+44.4985	 4.131	 	 	 	 23.23	G	 0.012	 242.232	 241.957	4543	 140.145	 19.120	 1.356	 2.307	 2.12	-0.11	      	      	     	      	      	Simbad
HIP5458  	HD6833  	             	 411220548543503488	017.4678	+54.7390	 0.852	 	 	 	  4.75	G	 0.220	   9.289	   9.455	4447	 130.976	 19.285	 0.829	 1.025	 1.83	-0.86	      	      	     	      	      	Simbad
HIP55219 	HD98262 	* nu. UMa    	 757565233820538752	169.6197	+33.0943	 4.561	 	 	 	  7.98	G	 0.021	 214.711	 212.920	4187	1045.080	 61.451	 2.731	 4.024	 1.38	-0.14	      	      	     	      	      	Simbad
HIP56127 	HD99998 	* e Leo      	3793247534517512064	172.5787	-03.0035	 3.210	 	 	 	  6.59	G	 0.049	  76.849	  75.541	3852	 543.689	 52.371	 0.861	 0.934	 0.95	-0.39	      	      	     	      	      	Simbad
HIP56343 	HD100407	* ksi Hya    	3478394889483944320	173.2505	-31.8576	 2.386	 	1	1	 24.96	G	 0.014	 122.168	 121.677	5034	  61.046	 10.278	 2.151	 2.522	 2.78	-0.09	  7.11	  92.3	 2.87	 9.868	 3.007	Simbad
HIP56997 	HD101501	*  61 UMa    	4025850731201819392	175.2626	+34.2016	 0.910	 	 	 	104.43	G	 0.000	  22.078	  21.919	5310	   0.628	  0.937	 0.840	 0.842	 4.42	-0.05	      	      	     	      	      	Simbad
HIP57360 	HD102200	             	5378451759396269696	176.3926	-46.0629	 0.138	1	 	1	 13.88	G	 0.026	   0.940	   0.940	6205	   1.525	  1.069	 0.767	 0.785	 4.27	-1.23	      	      	     	      	      	Simbad
HIP57477 	HD102328	             	 841920040781646080	176.7318	+55.6282	 1.606	 	 	 	 14.90	G	 0.014	  33.671	  33.663	4450	  47.394	 11.589	 1.177	 1.114	 2.37	 0.19	      	      	     	      	      	Simbad
HIP57757 	HD102870	* bet Vir    	3796442680948579328	177.6738	+01.7647	 1.431	 	1	1	 90.89	G	 0.000	  94.986	  93.957	6093	   3.555	  1.693	 1.261	 1.226	 4.08	 0.13	 72.07	1400.0	 4.10	 1.603	 1.380	Simbad
HIP57939 	HD103095	             	4034171629042489088	178.2449	+37.7187	 0.593	 	1	1	109.06	G	 0.000	   8.868	   8.791	5235	   0.231	  0.585	 0.630	 0.670	 4.72	-1.33	      	      	     	      	      	Simbad
HIP59490 	HD106038	             	3920615854833203328	183.0057	+13.2613	 0.073	1	 	1	  7.49	G	 0.042	   0.259	   0.257	6172	   1.434	  1.048	 0.761	 0.776	 4.28	-1.33	      	      	     	      	      	Simbad
HIP60172 	HD107328	* c Vir      	3701693091058501504	185.0874	+03.3126	 1.740	1	1	1	  9.67	G	 0.024	  44.335	  44.206	4576	 147.765	 19.346	 0.789	 0.806	 1.77	-0.38	      	      	     	      	      	Simbad
HIP61317 	HD109358	* bet CVn    	1534011998572555776	188.4356	+41.3575	 1.133	 	 	 	118.03	G	 0.000	  56.505	  55.879	6013	   1.254	  1.032	 0.980	 0.999	 4.41	-0.20	      	      	     	      	      	Simbad
HIP63584 	HD113337	             	1676282377934772608	195.4455	+63.6102	 0.386	 	 	 	 27.63	G	 0.013	  10.540	  10.500	6783	   4.299	  1.502	 1.449	 1.441	 4.24	 0.17	      	      	     	      	      	Simbad
HIP63608 	HD113226	* eps Vir    	3736865265441207424	195.5442	+10.9592	 3.318	 	1	1	 30.21	G	 0.012	 220.723	 220.016	4950	  75.351	 11.809	 2.447	 2.874	 2.72	 0.06	      	      	     	      	      	Simbad
HIP64394 	HD114710	* bet Com    	1460229442589223424	197.9683	+27.8782	 1.127	 	 	 	108.73	G	 0.000	  52.852	  52.298	5930	   1.383	  1.114	 1.042	 1.080	 4.37	 0.06	      	      	     	      	      	Simbad
HIP65721 	HD117176	*  70 Vir    	3740176925743994752	202.1075	+13.7788	 0.998	 	 	 	 55.25	G	 0.010	  29.898	  29.762	5473	   3.047	  1.942	 1.081	 1.306	 3.94	-0.06	      	      	     	      	      	Simbad
HIP6592  	HD8651  	             	4984231417260290048	021.1699	-41.4925	 1.228	 	 	 	 12.43	G	 0.018	  24.121	  24.182	4685	  48.920	 10.622	 1.212	 0.853	 2.39	-0.20	      	      	     	      	      	Simbad
HIP671   	HD360   	             	2429415922764859392	002.0731	-08.8241	 0.906	 	 	 	  9.01	G	 0.045	  12.891	  13.104	4679	  50.452	 10.811	 0.955	 0.838	 2.32	-0.09	      	      	     	      	      	Simbad
HIP67459 	HD120477	* ups Boo    	1243381938292692096	207.3693	+15.7979	 4.720	 	 	 	 13.42	G	 0.021	 180.726	 180.588	3950	 313.417	 37.815	 1.048	 1.017	 1.30	-0.40	      	   2.6	 1.27	      	      	Simbad
HIP67927 	HD121370	* eta Boo    	1244946371540479616	208.6712	+18.3977	 2.134	 	1	1	 87.75	H	 0.006	 219.745	 218.405	6161	   8.866	  2.615	 1.643	 1.667	 3.82	 0.25	 39.90	 750.0	 3.83	 2.817	 1.559	Simbad
HIP68594 	HD122563	             	3723554268436602240	210.6327	+09.6861	 0.925	 	1	1	  3.10	G	 0.060	  13.233	  13.231	4642	 430.330	 32.081	 0.767	 0.790	 1.32	-2.67	      	   3.1	 1.38	      	      	Simbad
HIP69673 	HD124897	Arcturus     	                   	213.9153	+19.1824	21.050	 	1	1	 88.83	H	 0.006	4954.200	4935.880	4277	 195.517	 25.478	 0.856	 0.944	 1.58	-0.55	  0.83	   3.5	 1.41	25.093	 0.624	Simbad
HIP70497 	HD126660	* tet Boo    	1604859511344724864	216.2992	+51.8507	 1.109	 	 	 	 69.07	G	 0.008	  64.538	  64.187	6292	   4.205	  1.726	 1.293	 1.232	 4.06	-0.03	      	      	     	      	      	Simbad
HIP70791 	HD127243	* g Boo      	1603662211901473408	217.1576	+49.8449	 0.971	 	 	 	 10.59	G	 0.033	  19.908	  19.850	5015	  55.323	  9.858	 1.508	 0.817	 2.50	-0.70	      	      	     	      	      	Simbad
HIP7083  	HD9362  	* del Phe    	4929469381645492864	022.8129	-49.0727	 2.301	 	 	 	 22.79	G	 0.012	  89.791	  89.774	4750	  54.026	 10.855	 1.238	 0.924	 2.40	-0.31	      	      	     	      	      	Simbad
HIP71053 	HD127665	* rho Boo    	1284537517514584704	217.9575	+30.3714	 3.901	 	 	 	 19.85	G	 0.016	 155.446	 154.828	4181	 122.820	 21.129	 0.990	 1.066	 1.80	-0.17	      	      	     	      	      	Simbad
HIP71681 	HD128621	* alf Cen B  	                   	219.8961	-60.8375	 5.999	 	1	1	750.81	A	 0.000	 886.949	 880.513	5207	   0.488	  0.859	 0.856	 0.957	 4.53	 0.24	161.38	4100.0	 4.53	 0.865	 0.905	Simbad
HIP71683 	HD128620	* alf Cen A  	                   	219.9021	-60.8340	 8.502	 	1	1	750.81	A	 0.000	2754.440	2730.910	5804	   1.514	  1.217	 1.042	 1.083	 4.29	 0.20	106.00	2400.0	 4.32	 1.240	 1.111	Simbad
HIP72567 	HD130948	             	1265976524286377856	222.5659	+23.9118	 0.569	 	 	 	 54.95	G	 0.011	  12.341	  12.300	5812	   1.273	  1.113	 0.960	 0.993	 4.33	-0.01	      	      	     	      	      	Simbad
HIP7294  	HD9408  	* chi Cas    	 509342237530006016	023.4828	+59.2321	 1.640	 	 	 	 16.26	G	 0.028	  46.347	  46.505	4774	  54.979	 10.844	 0.961	 0.945	 2.35	-0.30	      	      	     	      	      	Simbad
HIP73184 	HD131977	             	6232511606838403968	224.3667	-21.4155	 1.130	 	 	 	169.88	G	 0.000	  20.241	  19.996	4657	   0.217	  0.715	 0.745	 0.751	 4.60	 0.02	      	      	     	      	      	Simbad
HIP73568 	HD133124	* ome Boo    	1264797229346287744	225.5271	+25.0081	 3.055	 	 	 	  8.53	G	 0.038	  78.913	  79.066	3994	 339.648	 38.507	 0.985	 1.654	 1.37	-0.10	      	      	     	      	      	Simbad
HIP74666 	HD135722	* del Boo    	1278391075717325312	228.8757	+33.3148	 2.764	 	 	 	 27.07	G	 0.016	 136.239	 136.100	4810	  58.052	 10.978	 1.407	 0.791	 2.38	-0.35	      	      	     	      	      	Simbad
HIP74793 	HD136726	*  11 UMi    	1696798367260229376	229.2745	+71.8239	 2.149	 	 	 	  7.93	G	 0.023	  50.309	  50.294	4253	 249.983	 29.136	 1.632	 2.177	 1.78	-0.02	      	   5.9	 1.64	      	      	Simbad
HIP74975 	HD136202	*   5 Ser    	4421455530273900032	229.8283	+01.7654	 0.785	 	 	 	 39.80	G	 0.023	  23.236	  23.538	5820	   4.645	  2.121	 1.228	 1.195	 3.87	-0.02	      	      	     	      	      	Simbad
HIP7607  	HD9927  	* ups Per    	 399402894487590144	024.4982	+48.6282	 3.649	 	 	 	 18.55	G	 0.023	 160.937	 159.669	4356	 145.035	 21.150	 1.258	 2.058	 1.99	 0.05	      	      	     	      	      	Simbad
HIP7643  	HD10142 	             	5010675118584277248	024.6145	-36.5283	 0.964	 	 	 	  9.75	G	 0.024	  15.119	  15.167	4705	  49.870	 10.630	 1.162	 0.831	 2.38	-0.13	      	      	     	      	      	Simbad
HIP76976 	HD140283	             	6268770373590148224	235.7629	-10.9335	 0.327	 	1	1	 16.30	G	 0.058	   3.940	   3.995	5788	   4.699	  2.157	 0.769	 1.183	 3.75	-2.48	      	      	     	      	      	Simbad
HIP77052 	HD140538	* psi Ser    	4423865487962417024	236.0076	+02.5152	 0.597	 	 	 	 67.60	G	 0.008	  12.209	  12.235	5667	   0.837	  0.950	 0.956	 0.995	 4.47	 0.05	      	      	     	      	      	Simbad
HIP78072 	HD142860	* gam Ser    	1193030490492925824	239.1133	+15.6616	 1.217	 	 	 	 89.56	G	 0.000	  78.442	  77.475	6296	   3.019	  1.461	 1.144	 1.118	 4.16	-0.18	      	      	     	      	      	Simbad
HIP79672 	HD146233	*  18 Sco    	4345775217221821312	243.9053	-08.3694	 0.676	 	1	1	 70.74	G	 0.008	  17.624	  17.509	5824	   1.094	  1.027	 0.992	 1.041	 4.42	 0.03	133.40	3170.0	 4.44	 1.036	 1.057	Simbad
HIP7981  	HD10476 	* 107 Psc    	  96331172942614528	025.6240	+20.2685	 1.000	 	 	 	130.82	G	 0.000	  23.011	  23.036	5129	   0.421	  0.822	 0.813	 0.821	 4.52	-0.04	      	      	     	      	      	Simbad
HIP80843 	HD148897	  * s Her    	1297158777130486144	247.6398	+20.4792	 1.917	 	 	 	  4.71	G	 0.095	  39.850	  39.069	4227	 550.470	 43.760	 0.866	 0.945	 1.11	-0.92	      	      	     	      	      	Simbad
HIP8102  	HD10700 	* tau Cet    	2452378776434477184	026.0170	-15.9375	 2.054	 	1	1	273.81	G	 0.000	 120.052	 119.184	5397	   0.497	  0.806	 0.748	 0.750	 4.50	-0.51	169.30	4490.0	 4.58	 0.882	 0.766	Simbad
HIP81300 	HD149661	*  12 Oph    	4358031335898505472	249.0894	-02.3246	 0.724	 	 	 	101.07	G	 0.000	  15.032	  14.923	5408	   0.457	  0.770	 0.896	 0.910	 4.62	 0.03	      	      	     	      	      	Simbad
HIP8159  	HD10697 	* 109 Psc    	  95652018353917056	026.2326	+20.0831	 0.547	 	 	 	 30.19	G	 0.015	   8.710	   8.711	5438	   2.987	  1.948	 1.143	 1.284	 3.94	 0.14	      	      	     	      	      	Simbad
HIP81693 	HD150680	* zet Her A  	                   	250.3215	+31.6027	 2.367	 	 	 	 93.32	H	 0.000	 207.792	 205.396	5760	   7.372	  2.727	 1.438	 1.393	 3.72	 0.03	 43.00	 700.0	 3.78	 2.189	 2.055	Simbad
HIP83000 	HD153210	* kap Oph    	4444057469252265984	254.4171	+09.3750	 3.608	 	 	 	 37.11	G	 0.025	 179.455	 177.604	4499	  40.310	 10.453	 1.040	 1.490	 2.49	 0.02	      	  34.8	 2.43	      	      	Simbad
HIP8362  	HD10780 	             	 512167948043650816	026.9368	+63.8525	 0.763	 	 	 	 99.59	G	 0.000	  15.360	  15.217	5293	   0.480	  0.824	 0.858	 0.887	 4.55	 0.03	      	      	     	      	      	Simbad
HIP8404  	HD11037 	             	2512824943566639232	027.1084	+03.6855	 0.890	 	 	 	  8.83	G	 0.027	  14.352	  14.401	4834	  57.732	 10.837	 1.054	 0.813	 2.33	-0.13	      	      	     	      	      	Simbad
HIP84862 	HD157214	* w Her      	1333760419707327744	260.1649	+32.4677	 0.725	 	 	 	 68.56	G	 0.008	  20.249	  20.142	5825	   1.339	  1.137	 0.847	 0.858	 4.26	-0.39	      	      	     	      	      	Simbad
HIP84950 	HD157681	             	1419240920415509376	260.4390	+53.4204	 1.908	 	 	 	  4.23	G	 0.057	  34.623	  34.533	4108	 603.240	 48.497	 1.680	 2.184	 1.35	-0.23	      	      	     	      	      	Simbad
HIP85235 	HD158633	             	1637110042813188608	261.2504	+67.3067	 0.573	 	 	 	 78.19	G	 0.007	   7.936	   7.917	5188	   0.405	  0.788	 0.732	 0.739	 4.51	-0.46	      	      	     	      	      	Simbad
HIP85258 	HD157244	* bet Ara    	5922444483103229952	261.3249	-55.5300	 5.997	 	1	 	  4.56	G	 0.193	 411.625	 384.151	4232	5774.458	141.398	 7.889	 5.891	 0.97	 0.50	      	      	     	      	      	Simbad
HIP86614 	HD162003	* psi01 Dra A	1651268660203160448	265.4837	+72.1489	 0.949	 	 	 	 43.95	G	 0.013	  37.421	  37.219	5936	   6.023	  2.322	 1.331	 1.293	 3.82	 0.01	      	      	     	      	      	Simbad
HIP86742 	HD161096	* bet Oph    	4473334474604992384	265.8681	+04.5673	 4.498	 	 	 	 39.23	G	 0.025	 295.204	 295.740	4577	  60.064	 12.327	 0.825	 1.665	 2.33	 0.06	  4.10	  46.0	 2.55	14.103	 1.725	Simbad
HIP86796 	HD160691	* mu. Ara    	5945941905576552064	266.0362	-51.8349	 0.763	1	1	1	 64.09	G	 0.009	  24.828	  24.694	5974	   1.879	  1.280	 1.170	 1.201	 4.30	 0.29	 90.00	2000.0	 4.25	 1.454	 0.931	Simbad
HIP86974 	HD161797	* mu. Her    	4594497769766809216	266.6147	+27.7207	 1.880	 	 	 	119.92	G	 0.000	 122.135	 121.215	5665	   2.635	  1.686	 1.123	 1.194	 4.05	 0.25	 64.20	1216.0	 4.02	 1.692	 1.081	Simbad
HIP87808 	HD163770	* tet Her    	4609802834185436928	269.0633	+37.2505	 3.150	 	 	 	  4.10	G	 0.052	 130.190	 129.351	4448	2405.144	 82.604	 5.754	 5.890	 1.37	-0.03	      	      	     	      	      	Simbad
HIP87833 	HD164058	* gam Dra    	                   	269.1515	+51.4889	 9.860	 	 	 	 21.14	H	 0.019	 843.480	 843.677	4018	 590.072	 50.147	 1.791	 2.177	 1.33	-0.08	      	      	     	      	      	Simbad
HIP88348 	HD164922	             	4582680493669880704	270.6286	+26.3130	 0.412	 	 	 	 45.52	G	 0.017	   4.776	   4.778	5392	   0.721	  0.973	 0.904	 0.944	 4.43	 0.18	      	      	     	      	      	Simbad
